Gene stable ID	Gene stable ID version	Gene name	Gene start (bp)	Gene end (bp)
ENSG00000108958	ENSG00000108958.4	AC130689.1	1858039	1858446
ENSG00000185924	ENSG00000185924.7	RTN4RL1	1934677	2025334
ENSG00000262445	ENSG00000262445.3	AC099684.2	1995614	2003671
ENSG00000228133	ENSG00000228133.3	AC099684.1	2017716	2020706
ENSG00000262869	ENSG00000262869.1	AC099684.3	2019952	2023664
ENSG00000108963	ENSG00000108963.18	DPH1	2030110	2043430
ENSG00000287553	ENSG00000287553.1	AC090617.10	2040953	2041932
ENSG00000262664	ENSG00000262664.3	OVCA2	2042022	2043425
ENSG00000262533	ENSG00000262533.1	AC090617.3	2042900	2043425
ENSG00000263050	ENSG00000263050.1	AC090617.5	2043475	2044968
ENSG00000267200	ENSG00000267200.1	MIR132	2049908	2050008
ENSG00000267195	ENSG00000267195.1	MIR212	2050271	2050380
ENSG00000177374	ENSG00000177374.13	HIC1	2054154	2063241
ENSG00000070366	ENSG00000070366.14	SMG6	2059839	2303785
ENSG00000280333	ENSG00000280333.1	AC090617.9	2072823	2072956
ENSG00000262810	ENSG00000262810.1	AC090617.4	2089681	2101560
ENSG00000279040	ENSG00000279040.1	AC090617.6	2101542	2101667
ENSG00000279562	ENSG00000279562.1	AC090617.8	2117626	2117772
ENSG00000279340	ENSG00000279340.1	AC090617.7	2122342	2122508
ENSG00000262402	ENSG00000262402.1	MCUR1P1	2127430	2127904
ENSG00000265777	ENSG00000265777.2	RN7SL624P	2199762	2200039
ENSG00000236838	ENSG00000236838.2	AC090617.2	2213697	2214414
ENSG00000236457	ENSG00000236457.1	AC090617.1	2215482	2216015
ENSG00000225084	ENSG00000225084.1	AL450226.1	2232680	2233610
ENSG00000278941	ENSG00000278941.1	SMG6-IT1	2235713	2236086
ENSG00000280242	ENSG00000280242.1	AL450226.2	2255719	2256157
ENSG00000167720	ENSG00000167720.13	SRR	2303383	2325260
ENSG00000262333	ENSG00000262333.1	HNRNPA1P16	2306761	2307715
ENSG00000167721	ENSG00000167721.11	TSR1	2322396	2336657
ENSG00000275084	ENSG00000275084.4	SNORD91B	2329016	2329237
ENSG00000212163	ENSG00000212163.6	SNORD91A	2330180	2330370
ENSG00000141258	ENSG00000141258.13	SGSM2	2337498	2381058
ENSG00000274758	ENSG00000274758.1	AC006435.3	2366589	2366791
ENSG00000263345	ENSG00000263345.1	AC006435.2	2375061	2379306
ENSG00000070444	ENSG00000070444.15	MNT	2384073	2401104
ENSG00000262456	ENSG00000262456.1	AC006435.1	2384847	2386664
ENSG00000127804	ENSG00000127804.13	METTL16	2405562	2511891
ENSG00000279872	ENSG00000279872.1	AC006435.4	2424179	2424412
ENSG00000280280	ENSG00000280280.1	AC006435.5	2460183	2460294
ENSG00000243049	ENSG00000243049.3	RN7SL33P	2557753	2558094
ENSG00000262953	ENSG00000262953.1	EIF4A1P9	2586330	2587866
ENSG00000007168	ENSG00000007168.14	PAFAH1B1	2593210	2685615
ENSG00000262480	ENSG00000262480.2	SAMD11P1	2613284	2613944
ENSG00000279432	ENSG00000279432.1	AC015799.1	2639297	2642418
ENSG00000239884	ENSG00000239884.3	RN7SL608P	2680958	2681236
ENSG00000272770	ENSG00000272770.1	AC005696.2	2683305	2685088
ENSG00000272911	ENSG00000272911.1	AC005696.3	2688473	2688960
ENSG00000132361	ENSG00000132361.17	CLUH	2689386	2712663
ENSG00000273606	ENSG00000273606.1	MIR6776	2692861	2692919
ENSG00000262050	ENSG00000262050.1	AC005696.1	2712309	2712833
ENSG00000277200	ENSG00000277200.1	AC005696.4	2720801	2723947
ENSG00000261963	ENSG00000261963.3	CCDC92B	2724411	2749504
ENSG00000221200	ENSG00000221200.1	MIR1253	2748078	2748182
ENSG00000272920	ENSG00000272920.1	hsa-mir-1253	2748078	2748182
ENSG00000132359	ENSG00000132359.15	RAP1GAP2	2755705	3037741
ENSG00000262884	ENSG00000262884.1	AC015921.1	2962248	2965895
ENSG00000262628	ENSG00000262628.1	OR1D5	3062669	3063607
ENSG00000184166	ENSG00000184166.2	OR1D2	3088484	3104422
ENSG00000142163	ENSG00000142163.8	OR1E3	3116427	3117374
ENSG00000183024	ENSG00000183024.3	OR1G1	3126584	3127581
ENSG00000261848	ENSG00000261848.5	AC090282.1	3134969	3177031
ENSG00000262085	ENSG00000262085.2	OR1P1	3153889	3154882
ENSG00000172150	ENSG00000172150.4	OR1A2	3197519	3198448
ENSG00000172146	ENSG00000172146.2	OR1A1	3207539	3218896
ENSG00000255095	ENSG00000255095.2	OR1D4	3235703	3241614
ENSG00000262106	ENSG00000262106.1	OR1D3P	3265611	3266541
ENSG00000221882	ENSG00000221882.3	OR3A2	3276942	3386317
ENSG00000180090	ENSG00000180090.5	OR3A1	3291017	3298360
ENSG00000180068	ENSG00000180068.10	OR3A4P	3309986	3311446
ENSG00000285760	ENSG00000285760.1	AC087498.1	3311218	3311934
ENSG00000267129	ENSG00000267129.1	OR1AC1P	3377527	3377602
ENSG00000180042	ENSG00000180042.5	OR1R1P	3385930	3386874
ENSG00000180016	ENSG00000180016.2	OR1E1	3397104	3398410
ENSG00000159961	ENSG00000159961.2	OR3A3	3411370	3424070
ENSG00000127780	ENSG00000127780.3	OR1E2	3432870	3433841
ENSG00000280268	ENSG00000280268.1	AC025125.1	3439923	3441844
ENSG00000141255	ENSG00000141255.13	SPATA22	3440019	3513852
ENSG00000108381	ENSG00000108381.11	ASPA	3472374	3503405
ENSG00000167723	ENSG00000167723.15	TRPV3	3510502	3557812
ENSG00000196689	ENSG00000196689.12	TRPV1	3565444	3609411
ENSG00000263338	ENSG00000263338.1	AC027796.5	3577955	3578853
ENSG00000262304	ENSG00000262304.2	AC027796.3	3585149	3636249
ENSG00000261916	ENSG00000261916.1	AC027796.1	3601761	3602272
ENSG00000197417	ENSG00000197417.9	SHPK	3608240	3636250
ENSG00000262248	ENSG00000262248.1	AC027796.2	3619256	3619913
ENSG00000040531	ENSG00000040531.16	CTNS	3636459	3663103
ENSG00000262903	ENSG00000262903.1	AC027796.4	3655621	3658092
ENSG00000213977	ENSG00000213977.8	TAX1BP3	3662895	3668679
ENSG00000257950	ENSG00000257950.3	P2RX5-TAX1BP3	3663063	3696194
ENSG00000240898	ENSG00000240898.1	AC132942.1	3665220	3665702
ENSG00000127774	ENSG00000127774.7	EMC6	3668812	3669668
ENSG00000083454	ENSG00000083454.22	P2RX5	3672199	3696240
ENSG00000083457	ENSG00000083457.12	ITGAE	3714628	3801188
ENSG00000262692	ENSG00000262692.1	AC116914.2	3721628	3722488
ENSG00000177602	ENSG00000177602.5	HASPIN	3723903	3726699
ENSG00000262358	ENSG00000262358.1	AC116914.1	3729361	3730493
ENSG00000074356	ENSG00000074356.17	NCBP3	3802158	3846246
ENSG00000004660	ENSG00000004660.15	CAMKK1	3860315	3894891
ENSG00000108405	ENSG00000108405.4	P2RX1	3896592	3916476
ENSG00000074370	ENSG00000074370.18	ATP2A3	3923870	3964464
ENSG00000263312	ENSG00000263312.1	LINC01975	3977103	3981899
ENSG00000074755	ENSG00000074755.15	ZZEF1	4004445	4143030
ENSG00000252456	ENSG00000252456.1	RNA5SP434	4056756	4056876
ENSG00000167740	ENSG00000167740.10	CYB5D2	4143168	4187310
ENSG00000185722	ENSG00000185722.18	ANKFY1	4163821	4263995
ENSG00000263165	ENSG00000263165.1	AC087292.1	4163910	4164713
ENSG00000263219	ENSG00000263219.1	RYKP1	4222091	4223828
ENSG00000274363	ENSG00000274363.1	AC087742.1	4267691	4268430
ENSG00000132388	ENSG00000132388.12	UBE2G1	4269259	4366628
ENSG00000261868	ENSG00000261868.1	MFSD1P1	4301372	4302698
ENSG00000263882	ENSG00000263882.2	RN7SL774P	4364164	4364453
ENSG00000182557	ENSG00000182557.8	SPNS3	4433940	4488208
ENSG00000262823	ENSG00000262823.1	AC127521.1	4481966	4486353
ENSG00000229782	ENSG00000229782.1	AC118754.1	4497394	4499674
ENSG00000183018	ENSG00000183018.9	SPNS2	4498881	4539035
ENSG00000132382	ENSG00000132382.15	MYBBP1A	4538897	4555386
ENSG00000167741	ENSG00000167741.11	GGT6	4556927	4560818
ENSG00000262921	ENSG00000262921.1	AC118754.2	4565752	4571760
ENSG00000262519	ENSG00000262519.1	TXNP4	4572206	4572515
ENSG00000188176	ENSG00000188176.12	SMTNL2	4583999	4608319
ENSG00000261863	ENSG00000261863.1	LINC01996	4610449	4617650
ENSG00000222429	ENSG00000222429.1	RNU6-955P	4619749	4619852
ENSG00000161905	ENSG00000161905.13	ALOX15	4630919	4642294
ENSG00000141456	ENSG00000141456.16	PELP1	4669774	4704337
ENSG00000235085	ENSG00000235085.3	AC091153.2	4673830	4696831
ENSG00000244184	ENSG00000244184.1	AC091153.3	4704230	4705529
ENSG00000213939	ENSG00000213939.4	AC091153.1	4704816	4705217
ENSG00000141480	ENSG00000141480.18	ARRB2	4710596	4721499
ENSG00000161920	ENSG00000161920.11	MED11	4731428	4733608
ENSG00000261898	ENSG00000261898.2	AC091153.4	4731756	4732371
ENSG00000161921	ENSG00000161921.16	CXCL16	4733531	4739928
ENSG00000141497	ENSG00000141497.14	ZMYND15	4739833	4746119
ENSG00000142484	ENSG00000142484.7	TM4SF5	4771884	4783213
ENSG00000182853	ENSG00000182853.12	VMO1	4785285	4786433
ENSG00000280254	ENSG00000280254.1	AC233723.2	4787057	4789162
ENSG00000182327	ENSG00000182327.8	GLTPD2	4788964	4790589
ENSG00000142507	ENSG00000142507.10	PSMB6	4796144	4798502
ENSG00000262165	ENSG00000262165.2	AC233723.1	4801159	4807013
ENSG00000129219	ENSG00000129219.14	PLD2	4807152	4823434
ENSG00000141503	ENSG00000141503.17	MINK1	4833340	4898061
ENSG00000230201	ENSG00000230201.5	ATP6V0CP1	4856757	4857374
ENSG00000264113	ENSG00000264113.2	RN7SL784P	4882975	4883316
ENSG00000108556	ENSG00000108556.10	CHRNE	4897771	4934438
ENSG00000205710	ENSG00000205710.4	C17orf107	4899418	4902934
ENSG00000185245	ENSG00000185245.8	GP1BA	4932277	4935023
ENSG00000108528	ENSG00000108528.14	SLC25A11	4937130	4940053
ENSG00000108523	ENSG00000108523.16	RNF167	4940008	4945222
ENSG00000108518	ENSG00000108518.8	PFN1	4945652	4949061
ENSG00000108515	ENSG00000108515.18	ENO3	4948092	4957131
ENSG00000091640	ENSG00000091640.8	SPAG7	4959226	4967817
ENSG00000108509	ENSG00000108509.21	CAMTA2	4967992	4987675
ENSG00000262429	ENSG00000262429.1	AC004771.3	4967995	4968822
ENSG00000274300	ENSG00000274300.1	MIR6864	4969702	4969771
ENSG00000278517	ENSG00000278517.1	MIR6865	4970086	4970150
ENSG00000234203	ENSG00000234203.1	AC004771.1	4972851	4974681
ENSG00000262678	ENSG00000262678.1	AC004771.4	4986466	4987324
ENSG00000262227	ENSG00000262227.1	AC004771.2	4987706	4988446
ENSG00000196388	ENSG00000196388.8	INCA1	4988130	4997610
ENSG00000129250	ENSG00000129250.12	KIF1C	4997950	5028401
ENSG00000227495	ENSG00000227495.1	KIF1C-AS1	5019214	5020093
ENSG00000132517	ENSG00000132517.15	SLC52A1	5032600	5052009
ENSG00000262495	ENSG00000262495.1	AC012146.2	5060356	5062123
ENSG00000262693	ENSG00000262693.1	AC012146.3	5075678	5078113
ENSG00000180787	ENSG00000180787.6	ZFP3	5078467	5096374
ENSG00000167840	ENSG00000167840.13	ZNF232	5105541	5123116
ENSG00000234327	ENSG00000234327.8	AC012146.1	5111468	5115004
ENSG00000129204	ENSG00000129204.17	USP6	5116032	5175034
ENSG00000262855	ENSG00000262855.1	AC012146.4	5126740	5127010
ENSG00000180626	ENSG00000180626.10	ZNF594	5179535	5191868
ENSG00000261879	ENSG00000261879.7	AC087500.1	5192027	5248182
ENSG00000161929	ENSG00000161929.15	SCIMP	5208920	5234860
ENSG00000263164	ENSG00000263164.1	AC087500.2	5240508	5241543
ENSG00000029725	ENSG00000029725.17	RABEP1	5282265	5386340
ENSG00000108559	ENSG00000108559.12	NUP88	5360963	5419676
ENSG00000263220	ENSG00000263220.1	AC015727.1	5364315	5371626
ENSG00000129197	ENSG00000129197.14	RPAIN	5419641	5432876
ENSG00000263272	ENSG00000263272.1	AC004148.1	5425139	5432876
ENSG00000108561	ENSG00000108561.8	C1QBP	5432777	5448830
ENSG00000005100	ENSG00000005100.13	DHX33	5440917	5468982
ENSG00000262099	ENSG00000262099.1	DHX33-DT	5469092	5470360
ENSG00000072849	ENSG00000072849.11	DERL2	5471254	5486811
ENSG00000167842	ENSG00000167842.16	MIS12	5486285	5490814
ENSG00000286190	ENSG00000286190.2	AC055839.2	5499427	5501006
ENSG00000091592	ENSG00000091592.16	NLRP1	5499427	5619424
ENSG00000282980	ENSG00000282980.1	AC055839.1	5512040	5512537
ENSG00000286356	ENSG00000286356.1	AC135726.1	5700226	5704056
ENSG00000262961	ENSG00000262961.1	AC006236.1	5730289	5731085
ENSG00000284837	ENSG00000284837.1	AC007846.1	5772234	5930696
ENSG00000285471	ENSG00000285471.1	AC007846.2	5772926	6080792
ENSG00000179314	ENSG00000179314.14	WSCD1	6057807	6124427
ENSG00000262231	ENSG00000262231.2	AC104770.1	6163893	6190541
ENSG00000206618	ENSG00000206618.1	RNU6-1264P	6207163	6207269
ENSG00000262609	ENSG00000262609.1	BTF3P14	6322413	6323228
ENSG00000285593	ENSG00000285593.1	AC055872.2	6373833	6375080
ENSG00000129221	ENSG00000129221.16	AIPL1	6393693	6435199
ENSG00000262818	ENSG00000262818.1	AC055872.1	6417685	6418264
ENSG00000129195	ENSG00000129195.16	PIMREG	6444441	6451469
ENSG00000091622	ENSG00000091622.16	PITPNM3	6451263	6556555
ENSG00000198920	ENSG00000198920.11	KIAA0753	6578147	6640711
ENSG00000200914	ENSG00000200914.1	RNA5SP435	6600944	6601051
ENSG00000282936	ENSG00000282936.2	AC004706.3	6628619	6640456
ENSG00000129235	ENSG00000129235.11	TXNDC17	6640985	6644541
ENSG00000108590	ENSG00000108590.11	MED31	6643311	6651634
ENSG00000256806	ENSG00000256806.6	C17orf100	6651762	6693202
ENSG00000261996	ENSG00000261996.1	AC004706.1	6653464	6655009
ENSG00000264468	ENSG00000264468.1	MIR4520-1	6655440	6655509
ENSG00000283301	ENSG00000283301.1	MIR4520-2	6655449	6655502
ENSG00000274114	ENSG00000274114.2	ALOX15P1	6657034	6693577
ENSG00000141485	ENSG00000141485.17	SLC13A5	6684719	6713377
ENSG00000262990	ENSG00000262990.1	AC004706.2	6749685	6749978
ENSG00000244283	ENSG00000244283.1	RPL23AP73	6749718	6750188
ENSG00000132530	ENSG00000132530.17	XAF1	6755447	6775647
ENSG00000279296	ENSG00000279296.1	PRAL	6772831	6776116
ENSG00000177294	ENSG00000177294.7	FBXO39	6776215	6797101
ENSG00000167858	ENSG00000167858.13	TEKT1	6789133	6831761
ENSG00000262943	ENSG00000262943.7	ALOX12P2	6853861	6954107
ENSG00000215067	ENSG00000215067.10	ALOX12-AS1	6875232	7012530
ENSG00000262503	ENSG00000262503.1	AC027763.1	6927472	6928191
ENSG00000263316	ENSG00000263316.1	AC027763.2	6954098	6978960
ENSG00000267047	ENSG00000267047.1	AC040977.2	6985494	7019414
ENSG00000262089	ENSG00000262089.1	AC040977.1	6994642	6995189
ENSG00000108839	ENSG00000108839.12	ALOX12	6996049	7010754
ENSG00000219200	ENSG00000219200.11	RNASEK	7012417	7014532
ENSG00000161939	ENSG00000161939.19	RNASEK-C17orf49	7012635	7017520
ENSG00000258315	ENSG00000258315.5	C17orf49	7014495	7017525
ENSG00000267532	ENSG00000267532.5	MIR497HG	7015818	7019659
ENSG00000284112	ENSG00000284112.1	MIR195	7017615	7017701
ENSG00000284027	ENSG00000284027.1	MIR497	7017911	7018022
ENSG00000161940	ENSG00000161940.11	BCL6B	7023050	7030290
ENSG00000174327	ENSG00000174327.7	SLC16A13	7036015	7040117
ENSG00000174326	ENSG00000174326.14	SLC16A11	7041621	7044092
ENSG00000262067	ENSG00000262067.1	AC120057.1	7058934	7059204
ENSG00000132514	ENSG00000132514.13	CLEC10A	7074537	7080307
ENSG00000161944	ENSG00000161944.16	ASGR2	7101322	7115700
ENSG00000213876	ENSG00000213876.4	RPL7AP64	7140930	7141592
ENSG00000141505	ENSG00000141505.12	ASGR1	7173431	7179564
ENSG00000132535	ENSG00000132535.21	DLG4	7187187	7219841
ENSG00000279812	ENSG00000279812.1	AC120057.4	7192295	7192448
ENSG00000072778	ENSG00000072778.20	ACADVL	7217125	7225266
ENSG00000199053	ENSG00000199053.3	MIR324	7223297	7223379
ENSG00000004975	ENSG00000004975.12	DVL2	7225342	7234517
ENSG00000040633	ENSG00000040633.13	PHF23	7235029	7239722
ENSG00000170296	ENSG00000170296.10	GABARAP	7240008	7242449
ENSG00000262526	ENSG00000262526.2	AC120057.2	7240427	7244635
ENSG00000279641	ENSG00000279641.1	AC120057.3	7242200	7243814
ENSG00000175826	ENSG00000175826.12	CTDNEP1	7243591	7252491
ENSG00000262302	ENSG00000262302.1	AC003688.1	7246829	7262089
ENSG00000170291	ENSG00000170291.15	ELP5	7251416	7259940
ENSG00000181885	ENSG00000181885.18	CLDN7	7259903	7263983
ENSG00000181856	ENSG00000181856.15	SLC2A4	7281718	7288257
ENSG00000263342	ENSG00000263342.1	AC003688.2	7282947	7284071
ENSG00000006047	ENSG00000006047.13	YBX2	7288263	7294639
ENSG00000132507	ENSG00000132507.18	EIF5A	7306999	7312463
ENSG00000132522	ENSG00000132522.16	GPS2	7311324	7315564
ENSG00000261915	ENSG00000261915.6	AC026954.2	7312661	7319174
ENSG00000215041	ENSG00000215041.10	NEURL4	7315628	7329393
ENSG00000224647	ENSG00000224647.2	AC026954.1	7330452	7335413
ENSG00000072818	ENSG00000072818.12	ACAP1	7336529	7351477
ENSG00000213859	ENSG00000213859.6	KCTD11	7351889	7354944
ENSG00000263171	ENSG00000263171.1	AC026954.3	7352687	7354944
ENSG00000182896	ENSG00000182896.13	TMEM95	7355123	7357219
ENSG00000174292	ENSG00000174292.12	TNK1	7380534	7389774
ENSG00000187838	ENSG00000187838.17	PLSCR3	7389727	7394842
ENSG00000262481	ENSG00000262481.5	TMEM256-PLSCR3	7389734	7404097
ENSG00000205544	ENSG00000205544.4	TMEM256	7402975	7404097
ENSG00000169992	ENSG00000169992.10	NLGN2	7404874	7419860
ENSG00000262880	ENSG00000262880.1	AC113189.2	7420103	7444081
ENSG00000181323	ENSG00000181323.8	SPEM1	7420324	7421632
ENSG00000184560	ENSG00000184560.8	SPEM2	7425616	7427568
ENSG00000283439	ENSG00000283439.4	SPEM3	7428857	7432820
ENSG00000286007	ENSG00000286007.1	AC113189.9	7428861	7436278
ENSG00000181284	ENSG00000181284.3	TMEM102	7435435	7437679
ENSG00000262624	ENSG00000262624.1	AC113189.1	7436557	7437523
ENSG00000161958	ENSG00000161958.11	FGF11	7438273	7444937
ENSG00000263301	ENSG00000263301.1	AC113189.3	7439159	7443327
ENSG00000272884	ENSG00000272884.1	AC113189.4	7439506	7445966
ENSG00000170175	ENSG00000170175.11	CHRNB1	7445061	7457710
ENSG00000174282	ENSG00000174282.12	ZBTB4	7459366	7484263
ENSG00000259224	ENSG00000259224.2	SLC35G6	7481332	7483496
ENSG00000181222	ENSG00000181222.18	POLR2A	7484366	7514616
ENSG00000201489	ENSG00000201489.1	AC016876.1	7537096	7537196
ENSG00000239697	ENSG00000239697.11	TNFSF12	7549058	7557890
ENSG00000248871	ENSG00000248871.1	TNFSF12-TNFSF13	7549099	7561601
ENSG00000276384	ENSG00000276384.1	AC016876.4	7557820	7558245
ENSG00000161955	ENSG00000161955.16	TNFSF13	7558292	7561608
ENSG00000161956	ENSG00000161956.13	SENP3	7561919	7571969
ENSG00000277957	ENSG00000277957.1	SENP3-EIF4A1	7563287	7578715
ENSG00000161960	ENSG00000161960.16	EIF4A1	7572824	7579006
ENSG00000264772	ENSG00000264772.6	AC016876.3	7572826	7582024
ENSG00000209582	ENSG00000209582.1	SNORA48	7574713	7574847
ENSG00000238917	ENSG00000238917.1	SNORD10	7576811	7576952
ENSG00000277985	ENSG00000277985.1	SNORA67	7577955	7578091
ENSG00000129226	ENSG00000129226.14	CD68	7579491	7582111
ENSG00000233223	ENSG00000233223.3	AC016876.2	7581964	7584086
ENSG00000129255	ENSG00000129255.16	MPDU1	7583529	7592789
ENSG00000129194	ENSG00000129194.8	SOX15	7588178	7590094
ENSG00000129245	ENSG00000129245.12	FXR2	7591230	7614897
ENSG00000129214	ENSG00000129214.15	SHBG	7613946	7633382
ENSG00000141504	ENSG00000141504.12	SAT2	7626234	7627876
ENSG00000129244	ENSG00000129244.9	ATP1B2	7646627	7657770
ENSG00000141510	ENSG00000141510.18	TP53	7661779	7687538
ENSG00000141499	ENSG00000141499.17	WRAP53	7686071	7703502
ENSG00000108947	ENSG00000108947.5	EFNB3	7705202	7711372
ENSG00000183914	ENSG00000183914.14	DNAH2	7717354	7833744
ENSG00000240480	ENSG00000240480.1	RPL29P2	7754320	7754976
ENSG00000132510	ENSG00000132510.10	KDM6B	7839904	7854796
ENSG00000167874	ENSG00000167874.7	TMEM88	7855066	7856099
ENSG00000183011	ENSG00000183011.13	NAA38	7856685	7885238
ENSG00000182224	ENSG00000182224.12	CYB5D1	7857746	7862282
ENSG00000280046	ENSG00000280046.1	AC104581.4	7858943	7866083
ENSG00000170004	ENSG00000170004.17	CHD3	7884796	7912760
ENSG00000252835	ENSG00000252835.1	SCARNA21	7906122	7906260
ENSG00000179859	ENSG00000179859.9	RNF227	7913324	7916276
ENSG00000170049	ENSG00000170049.9	KCNAB3	7921859	7929803
ENSG00000262730	ENSG00000262730.1	AC104581.2	7925931	7930622
ENSG00000170043	ENSG00000170043.12	TRAPPC1	7930345	7932123
ENSG00000170037	ENSG00000170037.14	CNTROB	7932101	7949920
ENSG00000262492	ENSG00000262492.1	AC104581.1	7954868	7955622
ENSG00000132518	ENSG00000132518.7	GUCY2D	8002615	8020342
ENSG00000279174	ENSG00000279174.1	AC104581.3	8013327	8016378
ENSG00000179593	ENSG00000179593.16	ALOX15B	8039034	8049134
ENSG00000263427	ENSG00000263427.1	AC129492.2	8056225	8057621
ENSG00000275011	ENSG00000275011.1	AC129492.6	8063936	8072533
ENSG00000179477	ENSG00000179477.11	ALOX12B	8072636	8087716
ENSG00000214999	ENSG00000214999.3	AC129492.1	8079482	8081565
ENSG00000264005	ENSG00000264005.1	MIR4314	8088056	8088147
ENSG00000179148	ENSG00000179148.10	ALOXE3	8095900	8119047
ENSG00000179111	ENSG00000179111.9	HES7	8120592	8124106
ENSG00000179094	ENSG00000179094.16	PER1	8140472	8156506
ENSG00000284117	ENSG00000284117.1	MIR6883	8144994	8145071
ENSG00000263620	ENSG00000263620.1	AC129492.3	8150816	8162975
ENSG00000220205	ENSG00000220205.9	VAMP2	8159149	8163546
ENSG00000179029	ENSG00000179029.15	TMEM107	8172457	8176399
ENSG00000200463	ENSG00000200463.1	SNORD118	8173454	8173587
ENSG00000266824	ENSG00000266824.1	AC129492.4	8176812	8182812
ENSG00000283160	ENSG00000283160.1	MIR4521	8186945	8187004
ENSG00000196544	ENSG00000196544.8	BORCS6	8188345	8190180
ENSG00000279152	ENSG00000279152.1	AC129492.7	8188933	8189688
ENSG00000271002	ENSG00000271002.1	AC129492.5	8199123	8199437
ENSG00000178999	ENSG00000178999.13	AURKB	8204733	8210600
ENSG00000178977	ENSG00000178977.3	LINC00324	8220642	8224043
